address,staked_bmx,voter_points
0x089BDEcb5D1293624EF10d9051E082e2f31A7B2f,6946.720037265345654721,3661.295689737903392111
0x771eB322E757Bbd8b5f480983975629DcfDc0720,6807.95553920057221123,8690.987198868988734872
0x15908755294b0D0f2B3dCDb8EC49DaDa77bF4410,6188.592042554652329046,2152.428070787985338416
0xE7a56d36a3aFdE368AF5e34F49d0768A33E7891E,6178.521331644993836939,9443.370518988442317289
0x47adE238Cc739dbCE060C572E7393467ED6F0c50,5398.37664113842252608,4770.957233726899742341
0xEEC9A853aB6270Ec0DbC333C1eb4B59A4B9e4d82,5218.723992421541234902,5908.893745346516399687
0xFeFf9104a450681fd95153bA9823964E09e67A9E,4901.73491494500573664,8066.144889934000206745
0x78ce9fe8D59E2e39fC100A02D30109B16d2D7fD9,4898.480306472997733158,6009.470404581609734371
0x3Fd869FBA9566368085672e007aE32e5fcd193f3,4870.605057451334256027,589.44324863327499578
0x6B086B4D8ce20Cd43EF77462eBb243909E17f5E0,4608.486869399546572664,2984.31128282293329607
0x54BA3FF9dDbD2dEE95CDA54e863b07B0cdAD2eE4,4333,194.222874112125824453
0x87eAF3d9E59b50a237Ae7C8F58C21fE68d4065A4,4307.829965691854329494,9896.244622121664695291
0x7F63921D9faC69a6824dd3Ef5fB8E1A89fcc984D,3847.997729085459224114,4711.823635966807133224
0x6763424F113835bA1Cd0fD6E4D96c43A8252A038,3621.165061318571161902,3940.250282418803803059
0x9ED6b9a2F6a5dE9fedCCd51C1EE99a9346261FFB,3606.611626384724811355,4757.965010322953770101
0xA3e17CA80549C16CC850D37acee1a02C45736f68,3589.354803692373299315,3186.443035024043462679
0x30d670C6d652e4b46c63D7eE67cB6a20ffe6c64B,3581.969585557163547316,1328.020639302379438665
0x95600c8D13b6e3030246BB2D625798cDCDdf06BF,2933.074588484765135335,5121.98525842573919995
0x433C591ac8e2FcF5C56E2799585A44a9834df424,2907.086958015260488845,2127.326527533449365308
0xE93D56052a55B1184b788703477F5db009dA19D9,2869.195726496859303619,1312.343080507224317549
0xb57E6d15DF08082900fd92fa080f85aeF01A5f46,2799.737555234184024445,3820.262852200699704383
0x7E6949e70627f746F87577BBbb3BB03f89C23B4f,2608.90521662435014804,2470.705797149636656112
0xDE6759FaebAba270a8cb80633ccd5CE3143FFF28,2415.586863780830805731,2513.743365840045695346
0xd2d8ca9F5dd6e9e00EA3B930e74253E834643ca5,2154,191.70230181380010147
0xBA4b57F6e15778C6613c51A043856827F4F4edd2,2071.9255103356549497,2335.620091510450032414
0xbdBf2706d4C4631A2fA3De0FF670a7343c5b7C9D,2008.887428954818457158,872.876767322728438769
0xBb872E1d2AEA32E1344ac2A6044B604FDC9761d7,2003.495434281803086624,4102.475989874470233255
0xB55619926a7141a81f77B7608262376e97380300,2001,250.632743277524099403
0x70e9364882a1a48DC1607A79b9C9163b7B834986,2000.00153552314230054,3615.337631118517372827
0x758a15D4c972d54314eCE9D6701D086fE2C5e757,1961.441858184738221366,2074.988974636340144045
0x1F838e76995Fc9C5Af975214E1b6620f7C0fFa2a,1896.356780809648862755,3050.781005439496889183
0xB6367aA99E3be104252D60089C4Ce8623eB9480C,1894,239.814342212075088782
0x8c21260567dDF375e4d58eadd020aDcC38193Bad,1818.603552247256198193,2819.254385401668222971
0xe45F57a52461AC8c406452AF8bdbb5b3A1e54F57,1813.385394012546150987,1440.712691414969352964
0xBe9Be06be7dC3E8d5F77E8819C52167faE10F472,1793,95.304711757990867578
0x2D20bBAC02f7d4404Edf65cd0e5f4Fc50EBa7EBE,1660.469731213175131031,2258.933329495412273186
0xcC2b8E2EbEc2b18431ab49329eFe5519D85D4B1F,1650.206974971474477367,3166.753359641208489394
0x7110D94153cCBf0a6F9D11527648549516b4C809,1637.655453424942175041,2363.590581131106676052
